cohort	metadata	metric	n_meta	gizmo_best_pc	gizmo_strength	gizmo_raw_p	mofa_best_factor	mofa_strength	mofa_raw_p
Crohn	thiopurine	auc	58	4	0.11029411764705888	0.6014491712483897	4	0.1470588235294117	0.48241278389343334
Gao_RA	diagnosis	auc	28	2	0.1428571428571428	0.5350644544782063	3	0.2142857142857142	0.3462297896371177
Gao_RA	tissue	auc	28	2	1.0	9.272574815604625e-06	2	0.96875	1.7532066493785224e-05
Gao_RA	gender	auc	28	2	0.4385964912280702	0.06874375000454273	3	0.4035087719298245	0.094420942598153
Su_COVID	sex	auc	523	2	0.5308641975308642	0.06368977513662868	6	0.8024691358024691	0.004718198728115028
Su_COVID	age	spearman	520	5	0.23590353104186057	0.34598990569688803	3	0.45318309910673216	0.05892946100074099
Erawijantari	age	spearman	96	3	0.1577781432814563	0.12471342902090135	1	0.07212210920195969	0.4849878137449136
Erawijantari	sex	auc	96	3	0.2197265625	0.08101236270472255	2	0.18359375	0.14504091331842472
Erawijantari	bmi	spearman	96	5	0.24159471508084016	0.017722329183813612	2	0.2721162259697728	0.007316824352803551
Erawijantari	study_group	auc	96	1	0.41887125220458554	0.00045755730976915134	2	0.6031746031746033	4.4639388420357783e-07
Erawijantari	surgery_type	spearman	96	1	0.3403465558415903	0.0006915536376048995	2	0.4585861315304763	2.6174727335581206e-06
Erawijantari	hypertension	auc	95	4	0.2908622908622909	0.04313072431242222	2	0.15572715572715579	0.27981796615209253
Erawijantari	diabetes	auc	95	1	0.40150093808630394	0.020781657650318676	2	0.1632270168855534	0.34892178388764084
Erawijantari	dyslipidemia	auc	95	3	0.29713423831070895	0.056409712965835745	2	0.15987933634992457	0.3056840968604011
Erawijantari	diabetesmed	auc	95	4	0.38095238095238093	0.023664225060651578	2	0.13051146384479728	0.4403054804329434
Erawijantari	anticoagulant	auc	95	1	0.3246753246753247	0.15957623897651038	2	0.19480519480519487	0.40470312594287305
Erawijantari	analgesic	auc	95	5	0.30434782608695665	0.3950438897518333	3	0.34782608695652173	0.3279413358378788
IDH_glioma	idh_mut	auc	88	1	0.7584905660377357	2.053987038920202e-09	9	0.9159029649595687	4.54635389196229e-13
IDH_glioma	histology	spearman	88	2	0.24169083729871454	0.023293401102966398	2	0.49781615783708605	8.022025765057379e-07
IDH_glioma	treatment_received	auc	88	4	0.304059652029826	0.053093088196666006	2	0.2543496271748136	0.10585947874299148
Filbin_COVID	covid	auc	384	3	0.6643968053804119	1.3388460972114295e-19	3	0.5925178646490123	6.625022232140075e-16
Filbin_COVID	age_cat	spearman	384	5	0.34353160641358993	4.75974058696085e-12	1	0.4156132867534496	1.988828300992979e-17
Filbin_COVID	bmi_cat	spearman	384	2	0.13730848927201728	0.00712052117492335	8	0.2023807502331374	6.63307344904669e-05
Filbin_COVID	acuity_0	spearman	384	3	0.43568356532544256	3.565092552865365e-19	3	0.3516254910445585	1.3752897104648307e-12
Filbin_COVID	acuity_3	spearman	384	3	0.5219807310718635	3.74847178134738e-28	4	0.4249171228700073	3.1875241902851534e-18
Filbin_COVID	acuity_7	spearman	384	3	0.4561225456022774	4.467376602001939e-21	4	0.32486001472821296	7.299156299826369e-11
Filbin_COVID	acuity_28	spearman	384	3	0.35954597568447016	3.9409648383090953e-13	1	0.2582634700856044	2.9754059955491146e-07
Filbin_COVID	acuity_max	spearman	384	3	0.42780172819712636	1.785989103669765e-18	1	0.321399799759402	1.1865628778786616e-10
Filbin_COVID	abs_neut_0_cat	spearman	380	2	0.2599190376788571	2.8693036941748433e-07	8	0.46790434142317294	5.139441175858905e-22
Filbin_COVID	abs_lymph_0_cat	spearman	379	3	0.2982264769959754	3.3370649195441106e-09	5	0.32951632417444143	5.042013081085636e-11
Filbin_COVID	abs_mono_0_cat	spearman	376	2	0.2507393158982286	8.737862203582675e-07	8	0.3139680854488032	5.048690049416481e-10
Filbin_COVID	creat_0_cat	spearman	381	5	0.5288268568760843	9.152435453844776e-29	1	0.47298421716192135	1.40696992681216e-22
Filbin_COVID	crp_0_cat	spearman	366	3	0.6123725112718845	6.094279396230449e-39	5	0.5100101012622453	1.460811775317609e-25
Filbin_COVID	ddimer_0_cat	spearman	358	2	0.3966190648478879	6.732888944727898e-15	1	0.41261438441010684	4.1525592772890087e-16
Filbin_COVID	ldh_0_cat	spearman	362	3	0.6489753978841972	1.5426237816296411e-44	3	0.6175905992873543	2.4392299434076186e-39
Filbin_COVID	trop_72h	auc	384	5	0.5814933423226023	2.1690171872247982e-08	1	0.5722231586044157	3.6150560363401456e-08
Filbin_COVID	heart	auc	384	2	0.41684723726977235	4.1778109341743096e-08	1	0.41133983387504536	6.27739057832956e-08
Filbin_COVID	lung	auc	384	3	0.3370332305584105	3.597745542568851e-07	4	0.3123672490578966	2.3980731450800347e-06
Filbin_COVID	kidney	auc	384	5	0.5325323286834336	4.218941689912478e-11	1	0.6714183891660725	9.048820852285378e-17
Filbin_COVID	diabetes	auc	384	4	0.1558710440698019	0.011315600180601034	6	0.23643892339544514	0.00012192640823291793
Filbin_COVID	htn	auc	384	2	0.31243172383657414	1.265208359812267e-07	1	0.39021192921127357	4.129876935518456e-11
Filbin_COVID	immuno	auc	384	2	0.10012568077084205	0.2898847366060191	8	0.340874179583857	0.00031218566435845397
Filbin_COVID	resp_symp	auc	384	5	0.5458143074581431	9.255536355888162e-05	2	0.3923896499238966	0.004952115658683398
Filbin_COVID	fever_sympt	auc	384	2	0.31428401875259615	3.4104757993123576e-07	1	0.31826004391430773	2.4206214526579813e-07
Filbin_COVID	gi_symp	auc	384	5	0.17503369272237201	0.0035088770675271515	8	0.17104672057502235	0.004334509743030404
CPTAC_CCRCC	age	spearman	200	3	0.31004784084796594	0.000979723235975635	3	0.26053462647834646	0.005978852753133684
CPTAC_CCRCC	sex	auc	222	2	0.23749999999999993	0.05620548672120551	4	0.24416666666666664	0.049630900689659946
CPTAC_CCRCC	tumor_site	spearman	157	5	0.2808901338526834	0.008404869511306876	4	0.2545127501724919	0.017363539616582723
CPTAC_CCRCC	tumor_size_cm	spearman	200	3	0.4110907221267105	8.1512423098287e-06	2	0.34945893861351723	0.0001825750068096409
CPTAC_CCRCC	grade	spearman	200	3	0.4921138343757188	4.7561436839737973e-08	2	0.2188440501286685	0.02162142629487628
CPTAC_CCRCC	bmi	spearman	201	2	0.22917131636029875	0.016028979403280783	2	0.21160621930260315	0.026474072571818687
CPTAC_CCRCC	tobacco_smoking_hist	spearman	154	3	0.20367986870377078	0.06312402074489716	3	0.2089278876049125	0.05648566742508321
CPTAC_COAD	age	spearman	108	4	0.22882276266335558	0.01887907946366624	3	0.15566562224544248	0.11281048163104158
CPTAC_COAD	sex	auc	110	2	0.17821067821067804	0.11861183557815369	6	0.27849927849927836	0.014660625466410518
CPTAC_COAD	mucinous	auc	109	2	0.32549019607843155	0.021523386336485824	4	0.41848739495798326	0.0031107961978731366
CPTAC_COAD	subsite	spearman	109	4	0.32481962359838185	0.0006808505859131462	7	0.22746902513418046	0.019027183584160848
CPTAC_COAD	pathology_t_stage	spearman	110	1	0.13948393326247951	0.1518860925311288	5	0.17943764774674886	0.06440631607061198
CPTAC_COAD	stage	spearman	110	2	0.2782888281816079	0.0037032149948424097	7	0.28951716642158865	0.0024890445851796124
CPTAC_COAD	cea	spearman	63	2	0.1690642139441636	0.1965871331684749	6	0.22535409116167943	0.08341414734649383
CPTAC_COAD	vascular_invasion	auc	102	5	0.29969879518072284	0.059171899692704574	8	0.2620481927710845	0.09909287300312429
CPTAC_COAD	lymphatic_invasion	auc	103	5	0.30652680652680653	0.028944526201392526	8	0.2400932400932403	0.08727533120912477
CPTAC_COAD	perineural_invasion	auc	98	5	0.2844827586206895	0.1905435417281947	3	0.18103448275862077	0.409297440823412
CPTAC_COAD	synchronous_tumors	auc	106	2	0.43157894736842106	0.03339435170506301	8	0.4432748538011695	0.02888026006179064
CPTAC_COAD	polyps_history	auc	97	2	0.36421052631578954	0.01474872703682212	7	0.2912280701754386	0.05130620062866426
CPTAC_COAD	polyps_present	auc	107	2	0.4308045977011494	0.0006927306094601233	7	0.38206896551724157	0.002627538090966134
CPTAC_COAD	transcriptomic_subtype	spearman	85	1	0.33775066634941164	0.0015709472931957197	8	0.35378436434625926	0.0008951902013538492
CPTAC_COAD	proteomic_subtype	spearman	88	1	0.3791964636997802	0.00029231977419848254	7	0.5977861130619138	9.768103892319175e-10
CPTAC_COAD	mutation_rate	spearman	106	5	0.5041654388443115	3.5924651304021635e-08	8	0.44946933822977875	1.3435952529694225e-06
CPTAC_COAD	vital.status	auc	108	5	0.4971428571428571	0.026555303691107056	7	0.3857142857142857	0.09052185861278977
CPTAC_COAD	tumor.status	auc	103	1	0.18895348837209314	0.23341589954787567	3	0.2165697674418603	0.17180220323308615
CPTAC_COAD	mutation_phenotype	auc	105	5	0.7191358024691357	9.802205097432699e-08	3	0.73559670781893	4.968018729610472e-08
CPTAC_COAD	stromalscore	spearman	106	1	0.7137818978764139	8.88978164397691e-18	7	0.7890621457540872	9.668878827606499e-24
CPTAC_COAD	immunescore	spearman	106	1	0.4955084767110865	6.651975991504456e-08	7	0.7005919842809281	6.304721902966982e-17
CPTAC_COAD	estimatescore	spearman	106	1	0.6492228631886541	5.1842109600084845e-14	7	0.7973146585384286	1.5263280898641011e-24
CPTAC_COAD	tumorpurity	spearman	106	1	0.6491086205744468	5.2546681230816793e-14	7	0.7972662852792137	1.5433157803353538e-24
CPTAC_COAD	immunesubtype	spearman	106	5	0.469479299882261	3.839916228378422e-07	7	0.6258747747026773	7.297188860026515e-13
CPTAC_COAD	cin	auc	105	1	0.5652173913043478	3.697795425657266e-05	7	0.5705196182396607	3.122658676889136e-05
CPTAC_COAD	integrated.phenotype	spearman	108	2	0.42527757135920957	4.967432021226583e-06	4	0.4924202984857256	7.150778531158992e-08
CPTAC_OV	age	spearman	77	4	0.07290181480933908	0.5286378457655134	6	0.23360699366414756	0.04087956609627701
CPTAC_OV	site_of_disease	spearman	83	4	0.18661521858128027	0.09117422413392963	6	0.24712945255136634	0.024298869619100705
CPTAC_OV	anatomic_site_of_tumor_specimen	auc	78	2	0.37368421052631595	0.004596135294358557	4	0.45394736842105265	0.0005734890257092843
GSE65391_SLE	batch	spearman	996	4	0.5148868522371616	1.596527729792864e-68	4	0.467296044386697	3.5877460652953686e-55
GSE65391_SLE	batch_replicate	auc	996	3	0.36656118143459915	1.794616331877884e-05	3	0.38229606188466947	7.707852131875964e-06
GSE65391_SLE	visit	spearman	995	1	0.18537883494467	3.83158669283262e-09	8	0.22753324124671057	3.766945330695102e-13
GSE65391_SLE	set	spearman	996	2	0.0869301084366607	0.006047014853578323	9	0.1371799661463385	1.3962883338886173e-05
