cohort_A	basin_A	cohort_B	basin_B	disease_A	disease_B	category	jaccard	n_shared	shared_sample
GSE89408_RA	PC5+	Gao_RA	PC3-	RA	RA	within	0.9375	30	RPL10,RPL10L,RPL11,RPL13,RPL15
GSE89408_RA	PC1+	Gao_RA	PC5-	RA	RA	within	0.4702702702702703	87	B2M,CD247,CD3D,CD3E,CD3G
GSE89408_RA	PC1+	Gao_RA	PC2+	RA	RA	within	0.36	81	C3,C4A,C4B,CD247,CD3G
GSE89408_RA	PC5+	IDH_glioma	PC7-	RA	Glioma	cross	1.0	30	RPL10,RPL10L,RPL11,RPL13,RPL15
GSE89408_RA	PC5+	TCGA_LUAD	PC2+	RA	LUAD	cross	0.9666666666666667	29	RPL10,RPL10L,RPL11,RPL13,RPL15
IDH_glioma	PC7-	TCGA_LUAD	PC2+	Glioma	LUAD	cross	0.9666666666666667	29	RPL10,RPL10L,RPL11,RPL13,RPL15
Gao_RA	PC3-	IDH_glioma	PC7-	RA	Glioma	cross	0.9375	30	RPL10,RPL10L,RPL11,RPL13,RPL15
Gao_RA	PC3-	TCGA_LUAD	PC2+	RA	LUAD	cross	0.90625	29	RPL10,RPL10L,RPL11,RPL13,RPL15
GSE89408_RA	PC5+	IDH_glioma	PC4-	RA	Glioma	cross	0.8823529411764706	30	RPL10,RPL10L,RPL11,RPL13,RPL15
IDH_glioma	PC4-	TCGA_LUAD	PC2+	Glioma	LUAD	cross	0.8529411764705882	29	RPL10,RPL10L,RPL11,RPL13,RPL15
Gao_RA	PC3-	IDH_glioma	PC4-	RA	Glioma	cross	0.8333333333333334	30	RPL10,RPL10L,RPL11,RPL13,RPL15
KMPLOT_BRCA	PC1-	TCGA_IDH_glioma	PC5-	BRCA	Glioma	cross	0.6	12	MT-CO1,MT-CO2,MT-CO3,MT-CYB,MT-ND1
KMPLOT_BRCA	PC1-	TCGA_IDH_glioma	PC3+	BRCA	Glioma	cross	0.5217391304347826	12	MT-CO1,MT-CO2,MT-CO3,MT-CYB,MT-ND1
KMPLOT_BRCA	PC2+	TCGA_IDH_glioma	PC5-	BRCA	Glioma	cross	0.52	13	MT-CO1,MT-CO2,MT-CO3,MT-CYB,MT-ND1
KMPLOT_BRCA	PC2+	TCGA_IDH_glioma	PC3+	BRCA	Glioma	cross	0.4642857142857143	13	MT-CO1,MT-CO2,MT-CO3,MT-CYB,MT-ND1
Gao_RA	PC1-	TCGA_LUAD	PC3-	RA	LUAD	cross	0.4489795918367347	22	B2M,CD3E,HLA-A,HLA-B,HLA-C
IDH_glioma	PC5-	TCGA_LUAD	PC7-	Glioma	LUAD	cross	0.4351145038167939	57	ACAN,BMP1,COL10A1,COL11A1,COL11A2
IDH_glioma	PC5-	TCGA_LUAD	PC3+	Glioma	LUAD	cross	0.3942307692307692	41	ACAN,BMP1,COL10A1,COL11A1,COL11A2
IDH_glioma	PC5-	TCGA_LUAD	PC5+	Glioma	LUAD	cross	0.3924050632911392	31	COL10A1,COL11A1,COL11A2,COL13A1,COL14A1
IDH_glioma	PC2-	TCGA_LUAD	PC1-	Glioma	LUAD	cross	0.366412213740458	48	ATM,BARD1,BLM,BRCA1,BRIP1
GSE89408_RA	PC3-	TCGA_LUAD	PC5+	RA	LUAD	cross	0.3611111111111111	26	COL10A1,COL11A1,COL11A2,COL13A1,COL14A1
Gao_RA	PC1+	TCGA_LUAD	PC1-	RA	LUAD	cross	0.3583815028901734	62	ANAPC1,ATM,B9D2,BARD1,BLM
