cohort	pc	sign	truth_n	obs_auroc	null_median	p_pathway_matched
CorEvitas_RA	1	+	2	0.328696126568467	0.5324799314161016	0.7592407592407593
CorEvitas_RA	1	-	2	0.671303873431533	0.4728099914270127	0.2627372627372627
CorEvitas_RA	2	+	2	0.5436442989634479	0.4968046138258903	0.3806193806193806
CorEvitas_RA	2	-	2	0.4563557010365521	0.4994739303249941	0.6203796203796204
CorEvitas_RA	3	+	2	0.5419686696282441	0.4875009742031019	0.3716283716283716
CorEvitas_RA	3	-	2	0.4580313303717559	0.5199906476502222	0.6533466533466533
CorEvitas_RA	4	+	2	0.4927519289221417	0.3604356636271529	0.3506493506493506
CorEvitas_RA	4	-	2	0.5072480710778583	0.6437046995557634	0.6783216783216783
CorEvitas_RA	5	+	2	0.4335983165770399	0.4964636427402384	0.6993006993006993
CorEvitas_RA	5	-	2	0.56640168342296	0.4949731119943885	0.2927072927072927
GSE89408_RA	1	+	7	0.485899178008955	0.4787401706355394	0.4755244755244755
GSE89408_RA	1	-	7	0.514100821991045	0.5156434474616292	0.5044955044955045
GSE89408_RA	2	+	7	0.4578646053774698	0.5232201332115569	0.7512487512487512
GSE89408_RA	2	-	7	0.5421353946225301	0.4773562629480296	0.2777222777222777
GSE89408_RA	3	+	7	0.4432959836047315	0.5022833084582655	0.7202797202797203
GSE89408_RA	3	-	7	0.5567040163952686	0.4957285424695373	0.2687312687312687
GSE89408_RA	4	+	7	0.5034528079124991	0.4921532155665946	0.4485514485514486
GSE89408_RA	4	-	7	0.4965471920875008	0.5127642511862065	0.5574425574425574
GSE89408_RA	5	+	7	0.5909425051792119	0.4892016217059098	0.1678321678321678
GSE89408_RA	5	-	7	0.4090574948207881	0.5189876589962353	0.8261738261738262
Gao_RA	1	+	4	0.5595720632940993	0.4252036401901941	0.2067932067932067
Gao_RA	1	-	4	0.4404279367059006	0.5805840283732169	0.8121878121878122
Gao_RA	2	+	4	0.5067035622417959	0.4532601917530594	0.3326673326673326
Gao_RA	2	-	4	0.4932964377582041	0.5459116065164862	0.6403596403596403
Gao_RA	3	+	4	0.4903149115285681	0.4623509236885181	0.4265734265734265
Gao_RA	3	-	4	0.5096850884714319	0.5495021046067503	0.5884115884115884
Gao_RA	4	+	4	0.7388728661626003	0.551309533089095	0.1388611388611388
Gao_RA	4	-	4	0.2611271338373996	0.4569481253410242	0.8501498501498501
Gao_RA	5	+	4	0.5027476810351548	0.5449567386390209	0.6273726273726273
Gao_RA	5	-	4	0.4972523189648453	0.4571917140852755	0.3976023976023976
Crohn	1	+	4	0.0905175773637851	0.468844999610258	1.0
Crohn	1	-	4	0.9094824226362148	0.535257034842934	0.0009990009990009
Crohn	2	+	4	0.8887481487255438	0.5464133993296438	0.0009990009990009
Crohn	2	-	4	0.1112518512744563	0.4649037337282719	0.999000999000999
Crohn	3	+	4	0.148316314599735	0.4619319510484059	0.997002997002997
Crohn	3	-	4	0.851683685400265	0.5332790942396134	0.0049950049950049
Crohn	4	+	4	0.0889196352014966	0.4531627562553589	1.0
Crohn	4	-	4	0.9110803647985034	0.5422285447034063	0.0019980019980019
