cohort	pc	disease	disease_class	biology	best_match_cohort	best_match_pc	best_match_disease	best_match_cos	best_match_within_disease	intra_cohort_max_other_pc_cos	invisible_pct_gene	invisible_pct_protein	invisible_pct_metab	invisible_n_reaction	visible_pct_gene	visible_pct_protein	visible_pct_metab	visible_n_reaction	visible_k_size	top3_matches
IDH_glioma	2	Glioma	cancer_subtype	Sialic acid binds SIGLEC / GPLD1 hydrolyses GPI-… / Expression of IFN-ind…	TCGA_IDH_glioma	2	Glioma	0.7652	True	0.0	0.0	0.0	0.0	50	100.0	0.0	0.0	0	50	TCGA_IDH_glioma·PC2 (0.765) | TCGA_LUAD·PC1 (0.547) | Gao_RA·PC3 (0.371)
TCGA_IDH_glioma	2	Glioma	cancer_subtype	45S pre-rRNA is nucle… / 32S pre-rRNA is nucle… / TNFAIP8 proteins tran…	IDH_glioma	2	Glioma	0.7652	True	0.0	0.0	0.0	0.0	50	100.0	0.0	0.0	0	50	IDH_glioma·PC2 (0.765) | TCGA_LUAD·PC1 (0.424) | KMPLOT_BRCA·PC4 (0.356)
IDH_glioma	1	Glioma	cancer_subtype	neuronal ↔ immune (IDH-mut axis)	TCGA_IDH_glioma	1	Glioma	0.7244	True	0.0	0.0	0.0	0.0	50	100.0	0.0	0.0	0	50	TCGA_IDH_glioma·PC1 (0.724) | GSE89408_RA·PC1 (0.318) | TCGA_LUAD·PC3 (0.317)
TCGA_IDH_glioma	1	Glioma	cancer_subtype	Activation of voltage… / Sialic acid binds SIGLEC / NPTN binds GABA A rec…	IDH_glioma	1	Glioma	0.7244	True	0.0	100.0	0.0	0.0	49	100.0	0.0	0.0	0	50	IDH_glioma·PC1 (0.724) | TCGA_LUAD·PC3 (0.385) | GSE89408_RA·PC1 (0.361)
IDH_glioma	3	Glioma	cancer_subtype	Prolactin-releasing h… / Activation of voltage… / ZnT3 transports zinc …	TCGA_IDH_glioma	4	Glioma	0.6571	True	0.0	100.0	0.0	0.0	49	100.0	0.0	0.0	0	50	TCGA_IDH_glioma·PC4 (0.657) | TCGA_IDH_glioma·PC1 (0.233) | TCGA_LUAD·PC2 (0.227)
TCGA_IDH_glioma	4	Glioma	cancer_subtype	TBC1D32 / Receptor CXCR3 binds … / SLC9A9 exchanges Na+ …	IDH_glioma	3	Glioma	0.6571	True	0.0	100.0	0.0	0.0	48	100.0	0.0	0.0	0	50	IDH_glioma·PC3 (0.657) | KMPLOT_BRCA·PC3 (0.265) | TCGA_LUAD·PC1 (0.257)
IDH_glioma	4	Glioma	cancer_subtype	SLC4A4 cotransports N… / ATP13A4,5 transport d… / IGF2BP3 binds specifi…	TCGA_IDH_glioma	3	Glioma	0.4741	True	0.0	100.0	0.0	0.0	48	100.0	0.0	0.0	0	50	TCGA_IDH_glioma·PC3 (0.474) | TCGA_LUAD·PC3 (0.251) | TCGA_LUAD·PC4 (0.249)
TCGA_IDH_glioma	3	Glioma	cancer_subtype	CTU1:CTU2:URM1 thiola… / MIA40:ERV1 (CHCHD4:GF… / 39S subunit binds 28S…	IDH_glioma	4	Glioma	0.4741	True	0.0	100.0	0.0	0.0	49	100.0	0.0	0.0	0	50	IDH_glioma·PC4 (0.474) | TCGA_LUAD·PC4 (0.323) | IDH_glioma·PC5 (0.257)
IDH_glioma	5	Glioma	cancer_subtype	Apelin receptor binds… / DAZ1 / DAZ2	TCGA_IDH_glioma	3	Glioma	0.257	True	0.0	100.0	0.0	0.0	44	100.0	0.0	0.0	0	50	TCGA_IDH_glioma·PC3 (0.257) | GSE89408_RA·PC1 (0.241) | KMPLOT_BRCA·PC3 (0.239)
Filbin_COVID	2	COVID	inflammatory	Galanin receptors can… / PLA2G15 hydrolyses LP… / OSCN- reacts with Cys…	Su_COVID	4	COVID	0.084	True	0.0	0.0	75.9	24.1	21	0.0	100.0	0.0	0	50	Su_COVID·PC4 (0.084) | Gao_RA·PC3 (0.075) | Su_COVID·PC3 (0.059)
CPTAC_COAD	1	Colon	cancer_intensity	REEP6 / S100P / EML1	CPTAC_OV	1	Ovarian	0.6895	False	0.0	0.0	100.0	0.0	0				0	0	CPTAC_OV·PC1 (0.689) | GSE65391_SLE·PC1 (0.218) | GSE65682_sepsis·PC1 (0.210)
CPTAC_OV	1	Ovarian	cancer_intensity	IGF2BP oncofetal ↔ CD34 stromal	CPTAC_COAD	1	Colon	0.6895	False	0.0	0.0	100.0	0.0	0				0	0	CPTAC_COAD·PC1 (0.689) | GSE65391_SLE·PC1 (0.266) | CPTAC_CCRCC·PC4 (0.261)
TCGA_LUAD	1	LungAdeno	cancer_GoF_subtype	Sialic acid binds SIGLEC / FMO2:FAD:Mg2+ S-oxidi… / ethanol + NAD+ => ace…	IDH_glioma	2	Glioma	0.5474	False	0.0	60.0	0.0	40.0	45	100.0	0.0	0.0	0	50	IDH_glioma·PC2 (0.547) | Gao_RA·PC3 (0.442) | TCGA_IDH_glioma·PC2 (0.424)
TCGA_LUAD	3	LungAdeno	cancer_GoF_subtype	xenobiotic UGT/sterol ↔ MHC-I/IFN (alt-axis)	GSE89408_RA	1	RA	0.5339	False	0.0	50.0	0.0	50.0	48	100.0	0.0	0.0	0	50	GSE89408_RA·PC1 (0.534) | TCGA_IDH_glioma·PC1 (0.385) | IDH_glioma·PC1 (0.317)
GSE89408_RA	1	RA	inflammatory	synovial TLS (CXCL13/CXCR5 + BAFF)	TCGA_LUAD	3	LungAdeno	0.5339	False	0.0	66.7	0.0	33.3	47	100.0	0.0	0.0	0	50	TCGA_LUAD·PC3 (0.534) | KMPLOT_BRCA·PC3 (0.503) | TCGA_IDH_glioma·PC1 (0.361)
