pc	sign	rank	node_id	symbol	loading
1	+	1	reactome:R-HSA-110239	MPG glycosylase mediated recognition and binding of ethenoadenine 	+0.285634
1	+	2	reactome:R-HSA-110248	Cleavage of 3-methyladenine by MPG glycosylase 	+0.285969
1	+	3	symbol:MPG	MPG	+0.259773
1	+	4	reactome:R-HSA-110240	MPG glycosylase mediated recognition and binding of hypoxanthine	+0.285634
1	+	5	reactome:R-HSA-110356	Displacement of MPG glycosylase by APEX1 at the AP site	+0.144810
1	+	6	reactome:R-ALL-110249	EtAD [nucleoplasm]	+0.293695
1	+	7	reactome:R-HSA-110250	Cleavage of ethenoadenine by MPG glycosylase	+0.285969
1	+	8	reactome:R-ALL-30947	MADE [nucleoplasm]	+0.293695
1	+	9	reactome:R-HSA-110238	MPG glycosylase mediated recognition and binding of 3-methyladenine 	+0.285634
1	+	10	reactome:R-HSA-110251	Cleavage of hypoxanthine by MPG glycosylase	+0.205338
1	-	1	reactome:R-HSA-5433074	ACY1:Zn2+ dimer hydrolyses mercapturic acids	-0.041736
1	-	2	reactome:R-ALL-9717939	acetate [cytosol]	-0.058339
1	-	3	reactome:R-HSA-9638046	ACY3:Zn2+ dimer hydrolyses mercapturic acids	-0.067730
1	-	4	reactome:R-HSA-9861595	Cytosolic H2O2 decarboxylates PYR to acetate	-0.066866
1	-	5	reactome:R-HSA-9753944	ACY1:Zn2+ dimer deacetylates NAC to L-Cys	-0.046003
1	-	6	symbol:ACY1	ACY1	-0.051793
1	-	7	reactome:R-ALL-9753926	NAC [cytosol]	-0.059491
1	-	8	symbol:ACY3	ACY3	-0.070972
2	+	1	symbol:CPTP	CPTP	+0.110077
2	+	2	reactome:R-HSA-1638845	CERK phosphorylates CERA to form C1P	+0.109500
2	+	3	reactome:R-HSA-5339535	CPTP transports C1P from plasma membrane to Golgi membrane	+0.111170
2	+	4	symbol:CERK	CERK	+0.117363
2	+	5	reactome:R-ALL-1638840	C1P [plasma membrane]	+0.112936
2	+	6	reactome:R-ALL-5339515	C1P [Golgi membrane]	+0.110077
2	-	1	symbol:AMY1C	AMY1C	-0.088858
2	-	2	symbol:AMY1B	AMY1B	-0.088858
2	-	3	symbol:AMY2B	AMY2B	-0.088858
2	-	4	reactome:R-HSA-191114	Digestion of branched starch (amylopectin) by extracellular amylase	-0.065407
2	-	5	reactome:R-ALL-189108	limit dextrins [extracellular region]	-0.074809
3	+	1	symbol:CTNS	CTNS	+0.215586
3	+	2	ENSG:ENSG00000040531	CTNS	+0.165654
3	+	3	reactome:R-HSA-5340130	CTNS cotransports CySS-, H+ from lysosomal lumen to cytosol	+0.148955
3	+	4	reactome:R-ALL-8959707	Sedo [cytosol]	+0.085616
3	+	5	reactome:R-ALL-379429	CySS- [extracellular region]	+0.094238
3	+	6	reactome:R-HSA-8959719	SHPK phosphorylates Sedo to Sedo7P	+0.084790
3	+	7	reactome:R-HSA-378513	SLC7A11-mediated exchange of extracellular cysteine and cytosolic glutamate	+0.086007
3	+	8	ENSG:ENSG00000197417	SHPK	+0.135887
