pc	sign	rank	node_id	symbol	loading
1	+	1	reactome:R-ALL-5340156	CaPO4 [extracellular region]	+0.083235
1	+	2	reactome:R-HSA-5340124	CSN polymer binds CaPO4	+0.063380
1	+	3	symbol:CSN3	CSN3	+0.083235
1	-	1	reactome:R-ALL-6786428	GlcNAc-beta1,4-GlcNAc [extracellular region]	-0.064104
1	-	2	reactome:R-ALL-6786426	GlcNAc-beta1,4-GlcNAc-beta1,4-GlcNAc [extracellular region]	-0.064104
1	-	3	reactome:R-HSA-6786421	CHIA hydrolyses chitin	-0.049347
2	+	1	symbol:PGLYRP3	PGLYRP3	+0.110353
2	+	2	reactome:R-HSA-6799959	PGLYRP3,4 binds bacterial peptidoglycan	+0.084109
2	+	3	reactome:R-HSA-6799981	PGLYRP2 binds bacterial peptidoglycan	+0.070950
2	+	4	reactome:R-ALL-6789198	GlcNac-(1-->4)MurNAc-L-Ala-gamma-D-Glu-L-Lys-(D-Ala)2 [peptidoglycan-based cell wall]	+0.077881
2	-	1	reactome:R-HSA-77607	Formation of stem-loop structure in ApoB mRNA	-0.081393
2	-	2	reactome:R-HSA-77608	Binding of A1CF to stem-looped RNA	-0.075836
2	-	3	reactome:R-ALL-72156	polyadenylated mRNA with spliced exons [nucleoplasm]	-0.080530
2	-	4	reactome:R-ALL-77601	Stem-looped mRNA [nucleoplasm]	-0.081326
3	+	1	reactome:R-ALL-8855489	OSCN- [extracellular region]	+0.310463
3	+	2	reactome:R-HSA-8855490	Lactoperoxidase (LPO) produces OSCN-	+0.234533
3	+	3	reactome:R-ALL-8855492	SCN(-) [extracellular region]	+0.306901
3	+	4	reactome:R-HSA-8941411	OSCN- reacts with Cys residues	+0.338456
3	+	5	reactome:R-ALL-9626213	Peptidyl-Cys-SSCN [extracellular region]	+0.344297
3	+	6	reactome:R-ALL-9626215	Peptidyl-Cys-SH [extracellular region]	+0.344297
3	-	1	reactome:R-HSA-9794270	SLCO1A2 transports Cipro(1+) into the cytosol	-0.105619
3	-	2	reactome:R-HSA-9793564	Cipro HCl dissolves	-0.176468
3	-	3	reactome:R-ALL-9793568	Cipro HCl [extracellular region]	-0.180962
3	-	4	reactome:R-ALL-9793566	Cipro(1+) [extracellular region]	-0.160891
3	-	5	reactome:R-HSA-9793628	Cipro is imported by organic cation transporters	-0.176403
4	+	1	reactome:R-ALL-8855489	OSCN- [extracellular region]	+0.138745
4	+	2	reactome:R-HSA-8855490	Lactoperoxidase (LPO) produces OSCN-	+0.104733
4	+	3	reactome:R-ALL-8855492	SCN(-) [extracellular region]	+0.137207
4	+	4	reactome:R-HSA-8941411	OSCN- reacts with Cys residues	+0.151239
4	+	5	reactome:R-ALL-9626213	Peptidyl-Cys-SSCN [extracellular region]	+0.153942
4	+	6	reactome:R-ALL-9626215	Peptidyl-Cys-SH [extracellular region]	+0.153942
4	-	1	reactome:R-HSA-71287	phosphocreatine + H2O => creatinine + orthophosphate	-0.071400
4	-	2	reactome:R-ALL-200351	Pcr [cytosol]	-0.055059
4	-	3	reactome:R-ALL-30733	CREAT [cytosol]	-0.076936
5	+	1	reactome:R-ALL-5696835	EST17b [mitochondrial matrix]	+0.116841
5	+	2	reactome:R-HSA-5696822	AKR1B15 reduces EST17b to E1	+0.089301
5	+	3	reactome:R-ALL-5696848	E1 [mitochondrial matrix]	+0.116841
5	-	1	reactome:R-ALL-8855489	OSCN- [extracellular region]	-0.098398
5	-	2	reactome:R-ALL-9626213	Peptidyl-Cys-SSCN [extracellular region]	-0.109066
5	-	3	reactome:R-ALL-9626215	Peptidyl-Cys-SH [extracellular region]	-0.109066
5	-	4	reactome:R-HSA-8941411	OSCN- reacts with Cys residues	-0.107247
