pc	sign	rank	node_id	symbol	loading
1	+	1	reactome:R-ALL-6814151	2AET [cytosol]	+0.223609
1	+	2	reactome:R-HSA-1655443	PXKLP-K305-CSAD decarboxylates 3-sulfinoalanine to hypotaurine	+0.214301
1	+	3	reactome:R-HSA-6814165	PXLP-K333-GADL1 decarboxylates CSA to HTAU	+0.217683
1	+	4	symbol:GADL1	GADL1	+0.216836
1	+	5	reactome:R-ALL-1614519	3-Sulfinoalanine [cytosol]	+0.209984
1	+	6	reactome:R-ALL-6787748	CSA [cytosol]	+0.219906
1	+	7	reactome:R-HSA-6814153	ADO oxidises 2AET to HTAU	+0.221305
1	+	8	reactome:R-ALL-1655445	HTAU [cytosol]	+0.209544
1	+	9	symbol:ADO	ADO	+0.223609
1	+	10	reactome:R-HSA-6787757	PXLP-K333-GADL1 decarboxylates acidic AAs	+0.215093
1	+	11	symbol:CSAD	CSAD	+0.216580
1	-	1	ENSG:ENSG00000103316	CRYM	-0.030509
1	-	2	reactome:R-ALL-5693311	P2C [peroxisomal matrix]	-0.030509
1	-	3	reactome:R-HSA-5693347	CRYM reduces P2C to PPCA	-0.024401
1	-	4	symbol:CRYM	CRYM	-0.030509
2	+	1	symbol:FMO3	FMO3	+0.484062
2	+	2	reactome:R-ALL-30373	TMA [endoplasmic reticulum lumen]	+0.484062
2	+	3	ENSG:ENSG00000007933	FMO3	+0.484062
2	+	4	reactome:R-HSA-139970	FMO3:FAD N-oxidises TMA to TMAO	+0.391600
2	-	1	reactome:R-ALL-9930630	quinol [mitochondrial matrix]	-0.051012
2	-	2	reactome:R-HSA-6784224	PRODH2:FAD dimer dehydrogenates HPRO to 1-pyrroline-3-hydroxy-5-carboxylate	-0.048741
2	-	3	symbol:PRODH2	PRODH2	-0.050305
2	-	4	reactome:R-HSA-6784213	Unknown hydroxyproline carrier transports cytosolic HPRO into the mitochondrial matrix	-0.045515
2	-	5	reactome:R-ALL-9930628	quinone [mitochondrial matrix]	-0.051012
2	-	6	reactome:R-HSA-8955817	PRODH2 oxidises HPRO to 1PYR-3OH-5COOH	-0.047689
2	-	7	reactome:R-ALL-6784215	HPRO [mitochondrial matrix]	-0.052761
3	+	1	symbol:FOLH1B	FOLH1B	+0.317663
3	+	2	symbol:NAALAD2	NAALAD2	+0.317663
3	+	3	symbol:RIMKLA	RIMKLA	+0.308484
3	+	4	reactome:R-HSA-5693783	NAALADases hydrolyse NAAG	+0.259785
3	+	5	reactome:R-HSA-8942575	N-acetylaspartylglutamate synthase A ligates NAA, L-Glu forming NAAG	+0.242365
3	+	6	symbol:RIMKLB	RIMKLB	+0.308484
3	+	7	reactome:R-ALL-5693762	NAAG [cytosol]	+0.285341
3	+	8	symbol:FOLH1	FOLH1	+0.317663
3	-	1	reactome:R-ALL-29916	CRET [cytosol]	-0.044190
3	-	2	symbol:CKMT2	CKMT2	-0.059209
3	-	3	reactome:R-HSA-200326	creatine + ATP => phosphocreatine + ADP [CK octamer]	-0.055572
3	-	4	symbol:CKMT1A	CKMT1A	-0.059209
3	-	5	reactome:R-ALL-200351	Pcr [cytosol]	-0.052061
4	+	1	reactome:R-HSA-71287	phosphocreatine + H2O => creatinine + orthophosphate	+0.182665
4	+	2	reactome:R-ALL-29916	CRET [cytosol]	+0.179835
4	+	3	symbol:SLC6A8	SLC6A8	+0.195252
4	+	4	reactome:R-HSA-200318	creatine + ATP => phosphocreatine + ADP [CKB,CKM]	+0.182666
4	+	5	ENSG:ENSG00000130821	SLC6A8	+0.195252
4	+	6	symbol:CKMT2	CKMT2	+0.249552
4	+	7	reactome:R-HSA-200396	Creatine transport across the plasma membrane	+0.150235
4	+	8	symbol:SLC6A12	SLC6A12	+0.204785
4	+	9	reactome:R-HSA-200326	creatine + ATP => phosphocreatine + ADP [CK octamer]	+0.233060
4	+	10	reactome:R-HSA-352029	SLC6A12 (BGT-1)-mediated uptake of GABA and betaine	+0.226323
4	+	11	symbol:CKM	CKM	+0.199587
4	+	12	symbol:CKMT1A	CKMT1A	+0.249552
4	+	13	reactome:R-ALL-200351	Pcr [cytosol]	+0.221786
4	-	1	ENSG:ENSG00000103316	CRYM	-0.079719
4	-	2	reactome:R-ALL-5693311	P2C [peroxisomal matrix]	-0.079719
4	-	3	reactome:R-HSA-5693347	CRYM reduces P2C to PPCA	-0.064185
4	-	4	symbol:CRYM	CRYM	-0.079719
5	+	1	reactome:R-ALL-141323	NASPN [peroxisomal matrix]	+0.199105
5	+	2	reactome:R-HSA-141341	SMOX-3 oxidises SPN to SPM	+0.145684
5	+	3	reactome:R-ALL-141327	3AAPNAL [peroxisomal matrix]	+0.127518
5	+	4	reactome:R-HSA-351229	N-acetylated spermine (cytosol)=>N-acetylated spermine (peroxisomal)	+0.170207
5	+	5	reactome:R-ALL-141324	SPM [peroxisomal matrix]	+0.148039
5	+	6	reactome:R-ALL-141328	3APAL [peroxisomal matrix]	+0.144616
5	+	7	reactome:R-ALL-141342	SPN [peroxisomal matrix]	+0.144616
5	+	8	reactome:R-HSA-141351	PAOX:FAD oxidises NASPN to SPM	+0.138746
5	+	9	symbol:SMOX	SMOX	+0.144616
5	-	1	reactome:R-ALL-6797920	CH2O [mitochondrial matrix]	-0.069683
5	-	2	reactome:R-ALL-6797917	SARC [mitochondrial matrix]	-0.069683
5	-	3	ENSG:ENSG00000123453	SARDH	-0.067591
5	-	4	symbol:DMGDH	DMGDH	-0.078557
5	-	5	reactome:R-ALL-6797923	DMGLY [mitochondrial matrix]	-0.077963
5	-	6	ENSG:ENSG00000132837	DMGDH	-0.072772
5	-	7	reactome:R-HSA-6797653	DMGDH:FAD oxidatively demethylates DMGLY to SARC	-0.075168
