pc	sign	rank	node_id	symbol	loading
1	+	1	reactome:R-ALL-9793568	Cipro HCl [extracellular region]	+0.105643
1	+	2	reactome:R-HSA-9793628	Cipro is imported by organic cation transporters	+0.102987
1	+	3	reactome:R-HSA-9793564	Cipro HCl dissolves	+0.102982
1	+	4	reactome:R-ALL-9793566	Cipro(1+) [extracellular region]	+0.093882
1	-	1	reactome:R-HSA-8852010	BTNL2 binds activated T cells surface	-0.068483
1	-	2	ENSG:ENSG00000204290	BTNL2	-0.070036
1	-	3	symbol:BTNL2	BTNL2	-0.070036
1	-	4	reactome:R-ALL-8851965	Activated T Cell surface [plasma membrane]	-0.061015
2	+	1	symbol:CARNMT1	CARNMT1	+0.088852
2	+	2	reactome:R-ALL-8876775	Anserine [cytosol]	+0.088852
2	+	3	reactome:R-ALL-6786250	CARN [cytosol]	+0.073257
2	+	4	reactome:R-HSA-8876789	CARNMT1 methylates CARN to Anserine	+0.085600
2	-	1	symbol:UNC80	UNC80	-0.067754
2	-	2	symbol:NALCN	NALCN	-0.067754
2	-	3	reactome:R-HSA-2730664	UNC79:UNC80:NALCN transports Na+ extracellular region to cytosol	-0.036026
3	+	1	reactome:R-HSA-350869	Thyroxine is deiodinated to reverse triiodothyronine (RT3)	+0.066513
3	+	2	symbol:DIO3	DIO3	+0.072345
3	+	3	reactome:R-ALL-209937	T4 [cytosol]	+0.068038
3	-	1	reactome:R-HSA-9794270	SLCO1A2 transports Cipro(1+) into the cytosol	-0.070884
3	-	2	reactome:R-HSA-9793564	Cipro HCl dissolves	-0.118437
3	-	3	reactome:R-ALL-9793568	Cipro HCl [extracellular region]	-0.121527
3	-	4	reactome:R-ALL-9793566	Cipro(1+) [extracellular region]	-0.107943
3	-	5	reactome:R-HSA-9793628	Cipro is imported by organic cation transporters	-0.118469
4	+	1	reactome:R-HSA-5251989	ATP13A4,5 transport divalent ions from extracellular region to cytosol	+0.079025
4	+	2	reactome:R-ALL-5252122	divalent metal cation [extracellular region]	+0.121201
4	+	3	reactome:R-ALL-5252016	divalent metal cation [cytosol]	+0.121201
4	-	1	reactome:R-ALL-6786250	CARN [cytosol]	-0.101799
4	-	2	reactome:R-ALL-8876775	Anserine [cytosol]	-0.124674
4	-	3	reactome:R-HSA-8876789	CARNMT1 methylates CARN to Anserine	-0.120148
4	-	4	reactome:R-HSA-6786245	CARNS1 transforms ATP, L-His, b-Ala to CARN	-0.059897
4	-	5	symbol:CARNMT1	CARNMT1	-0.124674
5	+	1	symbol:SLC36A2	SLC36A2	+0.099520
5	+	2	reactome:R-HSA-375405	SLC36A2 cotransports Gly, L-Pro with H+ from extracellular region to cytosol	+0.089855
5	-	1	reactome:R-ALL-73590	b-Ala [cytosol]	-0.051621
5	-	2	reactome:R-ALL-6786250	CARN [cytosol]	-0.084679
5	-	3	reactome:R-ALL-8876775	Anserine [cytosol]	-0.102747
5	-	4	reactome:R-HSA-8876789	CARNMT1 methylates CARN to Anserine	-0.099364
5	-	5	reactome:R-HSA-6786245	CARNS1 transforms ATP, L-His, b-Ala to CARN	-0.051327
5	-	6	symbol:CARNMT1	CARNMT1	-0.102747
