pc	sign	rank	node_id	symbol	loading
1	+	1	reactome:R-ALL-194712	formate [endoplasmic reticulum lumen]	+0.083645
1	+	2	reactome:R-ALL-5693723	S-FGSH [endoplasmic reticulum lumen]	+0.083645
1	+	3	reactome:R-HSA-5693724	ESD dimer hydrolyses S-FGSH to GSH	+0.063633
1	-	1	symbol:SLC10A1	SLC10A1	-0.044374
2	+	1	reactome:R-HSA-1222411	Peroxynitrite oxidizes Peptide-Methionine residues	+0.072330
2	+	2	reactome:R-ALL-1222500	Peptide-Methionine [cytosol]	+0.064347
2	+	3	reactome:R-ALL-1222452	Peptide-Methionine (S)-Sulfoxide [cytosol]	+0.074759
2	-	1	reactome:R-HSA-8874470	TNFAIP8 proteins transfer PI(4,5)P2, PI(3,4,5)P3 from cytosolic vesicles to plasma membrane	-0.069120
2	-	2	symbol:TNFAIP8L2	TNFAIP8L2	-0.085300
2	-	3	symbol:TNFAIP8L3	TNFAIP8L3	-0.085300
2	-	4	symbol:TNFAIP8L1	TNFAIP8L1	-0.085300
3	+	1	reactome:R-HSA-6787757	PXLP-K333-GADL1 decarboxylates acidic AAs	+0.078335
3	+	2	reactome:R-ALL-6787748	CSA [cytosol]	+0.079876
3	+	3	symbol:GADL1	GADL1	+0.078744
3	+	4	reactome:R-HSA-6814165	PXLP-K333-GADL1 decarboxylates CSA to HTAU	+0.078477
3	-	1	reactome:R-ALL-5694569	GlcA [mitochondrial matrix]	-0.057084
3	-	2	reactome:R-HSA-5694563	ABHD10 hydrolyses MPAG	-0.046337
3	-	3	reactome:R-ALL-5694574	AMPAG [mitochondrial matrix]	-0.057084
3	-	4	reactome:R-ALL-5694565	MPA [mitochondrial matrix]	-0.057084
4	+	1	reactome:R-HSA-1222411	Peroxynitrite oxidizes Peptide-Methionine residues	+0.160072
4	+	2	reactome:R-HSA-1222755	Peroxynitrite is reduced to nitrite by Tpx	+0.126680
4	+	3	reactome:R-ALL-1222500	Peptide-Methionine [cytosol]	+0.142887
4	+	4	reactome:R-HSA-1222417	TrxA reactivates AhpC	+0.100941
4	+	5	reactome:R-HSA-1222644	TrxA/B1 reactivates Tpx	+0.125712
4	+	6	reactome:R-HSA-1222363	MsrA/B reduces peptide-methionine S/R-sulfoxides	+0.100266
4	+	7	symbol:trxA	trxA	+0.117315
4	+	8	symbol:trxB	trxB	+0.131035
4	+	9	symbol:tpx	tpx	+0.126982
4	+	10	reactome:R-HSA-1222485	TrxB reactivates TrxA	+0.127822
4	+	11	reactome:R-ALL-1222452	Peptide-Methionine (S)-Sulfoxide [cytosol]	+0.165365
4	-	1	symbol:NMNAT1	NMNAT1	-0.055241
4	-	2	reactome:R-HSA-200512	NMNAT1 transfers an adenylyl group from ATP to NAMN to yield NAAD	-0.051804
4	-	3	reactome:R-ALL-200499	NAAD [nucleoplasm]	-0.055241
4	-	4	reactome:R-ALL-200492	NAMN [nucleoplasm]	-0.055241
5	+	1	symbol:ACMSD	ACMSD	+0.086148
5	+	2	reactome:R-HSA-71217	3-hydroxykynurenine + H2O => 3-hydroxyanthranilate + alanine + H+	+0.086422
5	+	3	reactome:R-HSA-71239	2-aminomuconate semialdehyde + NAD+ + H2O => aminomuconate + NADH + H+	+0.081276
5	+	4	reactome:R-ALL-36027	ACS [cytosol]	+0.081475
5	+	5	reactome:R-HSA-197187	ACS transforms to QUIN non-enzymatically	+0.069763
5	+	6	reactome:R-ALL-30487	3HAA [cytosol]	+0.096077
5	+	7	symbol:HAAO	HAAO	+0.099076
5	+	8	reactome:R-ALL-32913	2AM [cytosol]	+0.080171
5	+	9	symbol:KYNU	KYNU	+0.111205
5	+	10	reactome:R-HSA-71218	3-hydroxyanthranilate + O2 => 2-amino-3-carboxymuconate semialdehyde	+0.078629
5	+	11	reactome:R-HSA-71223	2-amino-3-carboxymuconate semialdehyde => 2-aminomuconate semialdehyde + CO2	+0.084724
5	+	12	reactome:R-ALL-35181	2AMA [cytosol]	+0.083318
5	+	13	reactome:R-ALL-34351	3HKYN [cytosol]	+0.092302
5	-	1	reactome:R-HSA-6787757	PXLP-K333-GADL1 decarboxylates acidic AAs	-0.049170
5	-	2	reactome:R-ALL-6787748	CSA [cytosol]	-0.049956
5	-	3	symbol:GADL1	GADL1	-0.049501
5	-	4	reactome:R-HSA-6814165	PXLP-K333-GADL1 decarboxylates CSA to HTAU	-0.049070
