pc	sign	rank	node_id	symbol	loading
1	+	1	reactome:R-HSA-174959	The acetyl group from acetyl-CoA is transferred to NAT1	+0.208746
1	+	2	reactome:R-HSA-9753676	NAT1,2 acetylate APAP-Cys to APAP-Mer	+0.142159
1	+	3	symbol:NAT2	NAT2	+0.193970
1	+	4	symbol:NAT1	NAT1	+0.193970
1	+	5	reactome:R-HSA-174967	NAT2 acetylation	+0.208746
1	+	6	reactome:R-HSA-9753632	CNDP2:2Mn2+ dimer hydrolyses APAP-CysGly	+0.091375
1	+	7	reactome:R-HSA-174963	NAT1 acetylation	+0.208746
1	+	8	reactome:R-HSA-158832	The acetyl group from acetyl-CoA is transferred to NAT2	+0.208746
1	+	9	reactome:R-ALL-9753653	APAP-Cys [cytosol]	+0.130141
1	-	1	symbol:CDO1	CDO1	-0.057908
1	-	2	reactome:R-HSA-1614645	CDO1:Fe2+ oxidises L-Cys to 3-Sulfinoalanine	-0.056469
1	-	3	reactome:R-ALL-1614519	3-Sulfinoalanine [cytosol]	-0.051523
2	+	1	reactome:R-ALL-379444	CySS- [cytosol]	+0.136171
2	+	2	symbol:CTNS	CTNS	+0.221541
2	+	3	reactome:R-HSA-8959719	SHPK phosphorylates Sedo to Sedo7P	+0.089517
2	+	4	ENSG:ENSG00000040531	CTNS	+0.171124
2	+	5	reactome:R-ALL-8959707	Sedo [cytosol]	+0.091140
2	+	6	ENSG:ENSG00000197417	SHPK	+0.141658
2	+	7	symbol:SHPK	SHPK	+0.091140
2	+	8	reactome:R-HSA-5340130	CTNS cotransports CySS-, H+ from lysosomal lumen to cytosol	+0.152063
2	-	1	reactome:R-HSA-159567	ACSM2B-like proteins transform ST to ST-CoA	-0.127114
2	-	2	reactome:R-ALL-159559	ST [mitochondrial matrix]	-0.127816
2	-	3	reactome:R-ALL-9749985	2,5-DHB-CoA [mitochondrial matrix]	-0.127052
2	-	4	symbol:ACSM2A	ACSM2A	-0.127246
2	-	5	reactome:R-HSA-9757454	ST translocates from cytosol to mitochondrial matrix of hepatocytes	-0.125807
2	-	6	symbol:ACSM5	ACSM5	-0.127246
2	-	7	reactome:R-ALL-9749797	ST (hepatocyte) [cytosol]	-0.124285
2	-	8	reactome:R-HSA-9749971	ACSM2B-like proteins transform 2,5-DHBA to 2,5-DHB-CoA	-0.121518
2	-	9	reactome:R-ALL-159557	ST-CoA [mitochondrial matrix]	-0.130657
2	-	10	symbol:ACSM4	ACSM4	-0.127246
3	+	1	reactome:R-HSA-159567	ACSM2B-like proteins transform ST to ST-CoA	+0.118252
3	+	2	reactome:R-ALL-159559	ST [mitochondrial matrix]	+0.118659
3	+	3	symbol:ACSM2A	ACSM2A	+0.116660
3	+	4	reactome:R-HSA-9757454	ST translocates from cytosol to mitochondrial matrix of hepatocytes	+0.116731
3	+	5	symbol:ACSM5	ACSM5	+0.116660
3	+	6	reactome:R-ALL-159557	ST-CoA [mitochondrial matrix]	+0.122439
3	+	7	symbol:ACSM4	ACSM4	+0.116660
3	-	1	reactome:R-ALL-217269	TAMO [endoplasmic reticulum lumen]	-0.075216
3	-	2	reactome:R-ALL-9838650	TAM [endoplasmic reticulum lumen]	-0.075216
3	-	3	symbol:FMO1	FMO1	-0.059976
3	-	4	reactome:R-HSA-217255	FMO1:FAD N-oxidises TAM	-0.072246
4	+	1	symbol:CDO1	CDO1	+0.177100
4	+	2	reactome:R-HSA-1614645	CDO1:Fe2+ oxidises L-Cys to 3-Sulfinoalanine	+0.172869
4	+	3	reactome:R-ALL-1614519	3-Sulfinoalanine [cytosol]	+0.159508
4	-	1	symbol:AOX1	AOX1	-0.066961
4	-	2	reactome:R-HSA-3204311	AOX1 oxidises PXL to PDXate	-0.037750
5	+	1	symbol:NQO2	NQO2	+0.295646
5	+	2	reactome:R-ALL-8936516	RFDHN [cytosol]	+0.295646
5	+	3	reactome:R-ALL-8936507	hydroquinone [cytosol]	+0.295646
5	+	4	reactome:R-ALL-8936514	RFNA [cytosol]	+0.295646
5	+	5	reactome:R-ALL-8936520	quinone [cytosol]	+0.295646
5	+	6	reactome:R-HSA-8936519	NQO2:FAD dimer reduces quinones to hydroquinones	+0.254912
5	-	1	reactome:R-ALL-73617	UIBA [cytosol]	-0.055337
5	-	2	ENSG:ENSG00000147647	DPYS	-0.051676
5	-	3	reactome:R-HSA-73620	beta-ureidoisobutyrate + H2O => 3-aminoisobutyrate + NH4+ + CO2	-0.051374
5	-	4	ENSG:ENSG00000100024	UPB1	-0.049840
5	-	5	reactome:R-HSA-73618	5,6-dihydrothymine + H2O => beta-ureidoisobutyrate	-0.051024
5	-	6	symbol:DPYS	DPYS	-0.052607
