pc	sign	rank	node_id	symbol	loading
1	+	1	reactome:R-ALL-5687536	isoAsp [cytosol]	+0.104487
1	+	2	reactome:R-HSA-5687520	MetAsp transforms to L-Asp,isoAsp	+0.119271
1	+	3	reactome:R-HSA-5676966	PCMT1 transfers CH3 from AdoMet to isoAsp to form MetAsp	+0.080551
1	+	4	reactome:R-ALL-5687529	MetAsp [cytosol]	+0.108660
1	-	1	symbol:VARS1	VARS1	-0.035047
1	-	2	reactome:R-HSA-380042	valine + tRNA(Val) + ATP => Val-tRNA(Val) + AMP + pyrophosphate	-0.034452
1	-	3	reactome:R-ALL-29702	L-Val [cytosol]	-0.032034
2	+	1	reactome:R-HSA-71217	3-hydroxykynurenine + H2O => 3-hydroxyanthranilate + alanine + H+	+0.067983
2	+	2	reactome:R-ALL-30487	3HAA [cytosol]	+0.078124
2	+	3	symbol:HAAO	HAAO	+0.085203
2	+	4	reactome:R-ALL-36027	ACS [cytosol]	+0.072227
2	+	5	symbol:KYNU	KYNU	+0.082021
2	+	6	reactome:R-HSA-71218	3-hydroxyanthranilate + O2 => 2-amino-3-carboxymuconate semialdehyde	+0.071257
2	-	1	reactome:R-ALL-8855489	OSCN- [extracellular region]	-0.049113
2	-	2	reactome:R-ALL-9626213	Peptidyl-Cys-SSCN [extracellular region]	-0.054220
2	-	3	reactome:R-ALL-9626215	Peptidyl-Cys-SH [extracellular region]	-0.054220
2	-	4	reactome:R-HSA-8941411	OSCN- reacts with Cys residues	-0.053565
3	+	1	reactome:R-ALL-5661262	3-dehydro-L-gulonate [cytosol]	+0.081712
3	+	2	reactome:R-HSA-5661290	CRYL1 dimer dehydrogenates L-gulonate to 3-dehydro-L-gulonate	+0.064062
3	+	3	reactome:R-HSA-5662473	KGPDC decarboxylates 3-dehydro-L-gulonate to L-xylulose	+0.082825
3	+	4	reactome:R-ALL-5661268	L-gulonate [cytosol]	+0.071759
3	+	5	reactome:R-ALL-5660036	L-xylulose [cytosol]	+0.072471
3	-	1	reactome:R-ALL-32913	2AM [cytosol]	-0.062303
3	-	2	reactome:R-HSA-71239	2-aminomuconate semialdehyde + NAD+ + H2O => aminomuconate + NADH + H+	-0.060436
3	-	3	reactome:R-ALL-35181	2AMA [cytosol]	-0.053589
4	+	1	reactome:R-ALL-9793568	Cipro HCl [extracellular region]	+0.069854
4	+	2	reactome:R-HSA-9793628	Cipro is imported by organic cation transporters	+0.068110
4	+	3	reactome:R-HSA-9793564	Cipro HCl dissolves	+0.068206
4	+	4	reactome:R-ALL-9793566	Cipro(1+) [extracellular region]	+0.062289
4	-	1	reactome:R-HSA-5694071	GLO1 dimer:2xZn2+ transforms MGXL and GSH to (R)-S-LGSH	-0.057601
4	-	2	reactome:R-ALL-2564757	(2Fe-2S)(1+) [cytosol]	-0.069364
4	-	3	reactome:R-HSA-6783221	HAGH hydrolyses (R)-S-LGSH to GSH and LACT	-0.057543
4	-	4	reactome:R-ALL-5694130	(R)-S-LGSH [cytosol]	-0.063325
4	-	5	reactome:R-ALL-5694074	MGXL [cytosol]	-0.064777
4	-	6	reactome:R-ALL-5279872	D-LACT [cytosol]	-0.069364
5	+	1	symbol:cpnT	cpnT	+0.094370
5	+	2	reactome:R-HSA-5696049	ADPRM hydrolyses ADP-ribose to R5P and AMP	+0.092268
5	+	3	symbol:ADPRM	ADPRM	+0.094370
5	+	4	reactome:R-HSA-9637699	CpnT hydrolyses NAD+	+0.092268
5	+	5	reactome:R-ALL-1131972	ADP-D-ribose [cytosol]	+0.084515
5	-	1	reactome:R-ALL-6810468	AP6A [mitochondrial matrix]	-0.116099
5	-	2	reactome:R-HSA-6810472	NUDT13 hydrolyses AP6A to AP4 and ADP	-0.088698
5	-	3	reactome:R-ALL-6810471	AP4 [mitochondrial matrix]	-0.116099
